Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.03751,-0.0012732,0.047043,0,0,0,81.213,0.72865,1.3233E-05,-0.022486,1.1429,-7.4815E-05,1.5314,0,0,0,0,0,0,package://Ricardo_var/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Ricardo_var/meshes/base_link.STL,,Frame (Full)-1;Cynder block-1;R1-a (gridfinity)-1;Latch - (Locking_End)-1;spring_Cap-1;Spring_Core-1;Latch - (Notch_End)-1;Rover_Roofing-1;Camera Mount-1;Battery - Li_Time-1;Battery_Stop-1;Battery_Stop-3;Battery_Stop-10;Battery_Stop-12;Battery - Li_Time-2;Acrylic_Sheet - (Base)-1;Acrylic_Sheet - (Base_2)-1;Acrylic_Sheet - (Side)-1;Acrylic_Sheet - (Side)-2;Acrylic_Sheet - (End)-1;Acrylic_Sheet - (End)-2;Acrylic_Sheet - (Lid)-1;Front_Wheels - (Driven)-3/Motor (Mounting_Plate)-2;Front_Wheels - (Driven)-3/Motor (LH_Shaft)-2;Front_Wheels - (Driven)-2/Motor (LH_Shaft)-1;Front_Wheels - (Driven)-2/Motor (Mounting_Plate)-2;Rover_Roofing-1/R2-a (Lid_Seal)-1,Coordinate System Body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,1.7979609127583E-05,0.806933020240431,-1.79796950490335E-05,0,0,0,6.00743296352877,0.113142005853355,-3.62584232092908E-08,8.18564767397462E-07,0.205661598440745,3.6267072900171E-08,0.113144233755394,0,0,0,0,0,0,package://Ricardo_var/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ricardo_var/meshes/left_wheel.STL,,Front_Wheels - (Driven)-2/2181T34_Steel-Hub Pneumatic Trailer Wheel for Highway Use-1;Front_Wheels - (Driven)-2/Motor (Connector)-1,Coordinate System Lwheel,AxisLeftMotor,Wheel Left,continuous,0.25591,-0.40525,-0.07445,0,0,0,base_link,0,-1,0,100,100,-5000,5000,,,,,,,,
right_wheel,-1.79796091230866E-05,-0.806933020240431,-1.7979695049207E-05,0,0,0,6.00743296352879,0.113142005853356,-3.62584232043858E-08,-8.18564767344066E-07,0.205661598440745,-3.62670729506161E-08,0.113144233755394,0,0,0,0,0,0,package://Ricardo_var/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ricardo_var/meshes/right_wheel.STL,,Front_Wheels - (Driven)-3/2181T34_Steel-Hub Pneumatic Trailer Wheel for Highway Use-1;Front_Wheels - (Driven)-3/Motor (Connector)-1,Coordinate System Rwheel,AxisRightMotor,Wheel Right,continuous,0.25591,0.40526,-0.07445,0,0,0,base_link,0,1,0,100,100,-5000,5000,,,,,,,,
left_caster,-0.0396522556200605,0.492185899027916,-0.134181825118918,0,0,0,1.85010410933945,0.00574331776783894,2.86835844428304E-08,-0.000128265973193796,0.00961425292360563,8.6762142845452E-08,0.00547082250538176,0,0,0,0,0,0,package://Ricardo_var/meshes/left_caster.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ricardo_var/meshes/left_caster.STL,,22925T43_Caster with 4-1-2 x 4 Plate-1,Coordinate System Lcaster,AxisCasterLeft,Caster Left,continuous,-0.52775,-0.24612,-0.03635,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
right_caster,-0.0396522556200387,-0.492302100972085,-0.134181825118883,0,0,0,1.85010410933997,0.00574331776784025,2.86835844965162E-08,-0.000128265973194795,0.00961425292360711,8.67621429354787E-08,0.00547082250538194,0,0,0,0,0,0,package://Ricardo_var/meshes/right_caster.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Ricardo_var/meshes/right_caster.STL,,22925T43_Caster with 4-1-2 x 4 Plate-2,Coordinate System Rcaster,AxisCasterRight,Castor Right,continuous,-0.52775,0.24612,-0.03635,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
